State,state_population,political_status
California,"38,965,193",Democratic
Texas,"30,503,301",Republican
Florida,"22,610,726",Republican
New York,"19,571,216",Democratic
Pennsylvania,"12,961,683",Republican
Illinois,"12,549,689",Democratic
Ohio,"11,785,935",Republican
Georgia,"11,029,227",Republican
North Carolina,"10,835,491",Republican
Michigan,"10,037,261",Republican
New Jersey,"9,290,841",Democratic
Virginia,"8,715,698",Democratic
Washington,"7,812,880",Democratic
Arizona,"7,431,344",Republican
Tennessee,"7,126,489",Republican
Massachusetts,"7,001,399",Democratic
Indiana,"6,862,199",Republican
Missouri,"6,196,156",Republican
Maryland,"6,180,253",Democratic
Wisconsin,"5,910,955",Republican
Colorado,"5,877,610",Democratic
Minnesota,"5,737,915",Democratic
South Carolina,"5,373,555",Republican
Alabama,"5,108,468",Republican
Louisiana,"4,573,749",Republican
Kentucky,"4,526,154",Republican
Oregon,"4,233,358",Democratic
Oklahoma,"4,053,824",Republican
Connecticut,"3,617,176",Democratic
Utah,"3,417,734",Republican
Iowa,"3,207,004",Republican
Puerto Rico,"3,205,691",
Nevada,"3,194,176",Republican
Arkansas,"3,067,732",Republican
Kansas,"2,940,546",Republican
Mississippi,"2,939,690",Republican
New Mexico,"2,114,371",Democratic
Nebraska,"1,978,379",Republican
Idaho,"1,964,726",Republican
West Virginia,"1,770,071",Republican
Hawaii,"1,435,138",Democratic
New Hampshire,"1,402,054",Democratic
Maine,"1,395,722",Democratic
Montana,"1,132,812",Republican
Rhode Island,"1,095,962",Democratic
Delaware,"1,031,890",Democratic
South Dakota,"919,318",Republican
North Dakota,"783,926",Republican
Alaska,"733,406",Republican
District of Columbia,"678,972",Democratic
Vermont,"647,464",Democratic
Wyoming,"584,057",Republican
Guam,,
U.S. Virgin Islands,,
American Samoa,,
Northern Mariana Islands,,
Contiguous United States,"332,746,351",
The 50 states,"334,235,923",
The 50 states and D.C.,"334,914,895",
Total US and territories,,
